mel_path,transcript,speaker_id
data/preprocessed_data/p236/p236_005_mic1.pt,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",p236
data/preprocessed_data/p237/p237_317_mic1.pt,It is no surprise.,p237
data/preprocessed_data/p237/p237_235_mic1.pt,I can't wait to meet him.,p237
data/preprocessed_data/p237/p237_302_mic1.pt,He should have won.,p237
data/preprocessed_data/p238/p238_135_mic1.pt,No one person or small group could be singled out.,p238
data/preprocessed_data/p238/p238_230_mic1.pt,Its's all change at Kilmarnock.,p238
data/preprocessed_data/p238/p238_007_mic1.pt,The rainbow is a division of white light into many beautiful colors.,p238
data/preprocessed_data/p239/p239_462_mic1.pt,She failed in her action.,p239
data/preprocessed_data/p239/p239_367_mic1.pt,But the rally was short-lived.,p239
data/preprocessed_data/p239/p239_062_mic1.pt,Perhaps we should do the same.,p239
data/preprocessed_data/p240/p240_121_mic1.pt,You can spend money on housing.,p240
data/preprocessed_data/p240/p240_186_mic1.pt,They really did a great job.,p240
data/preprocessed_data/p240/p240_380_mic1.pt,Safety was also an issue.,p240
data/preprocessed_data/p241/p241_056_mic1.pt,Gerhard Schroeder was the victor.,p241
data/preprocessed_data/p241/p241_059_mic1.pt,There was a battle there.,p241
data/preprocessed_data/p241/p241_102_mic1.pt,Tomorrow he will make a keynote speech on Europe.,p241
data/preprocessed_data/p243/p243_261_mic1.pt,Every player goes through this after a serious injury.,p243
data/preprocessed_data/p243/p243_254_mic1.pt,I'd rather play well next week than here.,p243
data/preprocessed_data/p243/p243_276_mic1.pt,"Despite Labour's recent problems, it has not been able to do that.",p243
data/preprocessed_data/p244/p244_269_mic1.pt,The party has never fully recovered.,p244
data/preprocessed_data/p244/p244_299_mic1.pt,Are they free?,p244
data/preprocessed_data/p244/p244_030_mic1.pt,"However, the following year the cancer returned.",p244
data/preprocessed_data/p245/p245_099_mic1.pt,They had to be cut from the wreckage.,p245
data/preprocessed_data/p245/p245_257_mic1.pt,"However, the force has not yet received a formal complaint.",p245
data/preprocessed_data/p245/p245_313_mic1.pt,Craig is a major concern for us.,p245
data/preprocessed_data/p246/p246_283_mic1.pt,It is not a process which can be completed overnight.,p246
data/preprocessed_data/p246/p246_301_mic1.pt,What has altered?,p246
data/preprocessed_data/p246/p246_315_mic1.pt,We are a peaceful people.,p246
data/preprocessed_data/p247/p247_142_mic1.pt,I learned that only yesterday.,p247
data/preprocessed_data/p247/p247_175_mic1.pt,The strong performance is expected to continue.,p247
data/preprocessed_data/p247/p247_333_mic1.pt,The people will not be patient.,p247
data/preprocessed_data/p248/p248_114_mic1.pt,It's not a new concept in jazz.,p248
data/preprocessed_data/p248/p248_286_mic1.pt,But it is understood to have happened after weeks of arguments.,p248
data/preprocessed_data/p248/p248_181_mic1.pt,The goals were good.,p248
data/preprocessed_data/p249/p249_153_mic1.pt,The petition was formally presented at Downing Street yesterday.,p249
data/preprocessed_data/p249/p249_049_mic1.pt,I would love to have him home.,p249
data/preprocessed_data/p249/p249_048_mic1.pt,He has already suffered a good deal of unwanted attention.,p249
data/preprocessed_data/p250/p250_289_mic1.pt,It is also very valuable.,p250
data/preprocessed_data/p250/p250_007_mic1.pt,The rainbow is a division of white light into many beautiful colors.,p250
data/preprocessed_data/p250/p250_201_mic1.pt,It may have been a cry for help.,p250
data/preprocessed_data/p251/p251_058_mic1.pt,Four other charges were dropped.,p251
data/preprocessed_data/p251/p251_320_mic1.pt,Our task is to complete the picture.,p251
data/preprocessed_data/p251/p251_081_mic1.pt,War is not the action.,p251
data/preprocessed_data/p252/p252_351_mic1.pt,No plans for projects are yet in place.,p252
data/preprocessed_data/p252/p252_175_mic1.pt,I made my mind up before we came on tour.,p252
data/preprocessed_data/p252/p252_130_mic1.pt,I saw a lot of good things against Livingston.,p252
data/preprocessed_data/p253/p253_383_mic1.pt,He also insisted that no concessions had been made to the French.,p253
data/preprocessed_data/p253/p253_004_mic1.pt,We also need a small plastic snake and a big toy frog for the kids.,p253
data/preprocessed_data/p253/p253_121_mic1.pt,That was the lesson to be learned from the European Championships.,p253
data/preprocessed_data/p254/p254_175_mic1.pt,It was a great achievement to win at Wembley.,p254
data/preprocessed_data/p254/p254_133_mic1.pt,It's the traumatic event in the childhood of the nation.,p254
data/preprocessed_data/p254/p254_115_mic1.pt,It is normal.,p254
data/preprocessed_data/p255/p255_303_mic1.pt,Our task is to complete the picture.,p255
data/preprocessed_data/p255/p255_110_mic1.pt,"Naturally, it was not difficult to find support for these proposals.",p255
data/preprocessed_data/p255/p255_162_mic1.pt,And sooner than we may think.,p255
data/preprocessed_data/p256/p256_063_mic1.pt,The problems are a result of that shortfall.,p256
data/preprocessed_data/p256/p256_319_mic1.pt,Henman has been warned.,p256
data/preprocessed_data/p256/p256_100_mic1.pt,There was no rescue.,p256
data/preprocessed_data/p257/p257_405_mic1.pt,No preference emerged.,p257
data/preprocessed_data/p257/p257_035_mic1.pt,"Of course, on Tuesday, United were beaten despite this.",p257
data/preprocessed_data/p257/p257_120_mic1.pt,Does this mean.,p257
data/preprocessed_data/p258/p258_348_mic1.pt,His contract was then not renewed.,p258
data/preprocessed_data/p258/p258_237_mic1.pt,It's quite nice.,p258
data/preprocessed_data/p258/p258_039_mic1.pt,It will come all right.,p258
data/preprocessed_data/p259/p259_205_mic1.pt,Neither side would reveal the details of the offer.,p259
data/preprocessed_data/p259/p259_463_mic1.pt,Quality was high in all sections.,p259
data/preprocessed_data/p259/p259_247_mic1.pt,We will reform the welfare state.,p259
data/preprocessed_data/p260/p260_277_mic1.pt,We are a grandmother.,p260
data/preprocessed_data/p260/p260_045_mic1.pt,Among them are many criminals.,p260
data/preprocessed_data/p260/p260_285_mic1.pt,The condition of their adoption was that they should be kept together.,p260
data/preprocessed_data/p261/p261_346_mic1.pt,Both men were on one-year contracts.,p261
data/preprocessed_data/p261/p261_062_mic1.pt,I wish I had put on a brighter tie.,p261
data/preprocessed_data/p261/p261_180_mic1.pt,"I've been in two finals, and I've got a medal.",p261
data/preprocessed_data/p262/p262_220_mic1.pt,The loss of a company to the industry is a blow.,p262
data/preprocessed_data/p262/p262_089_mic1.pt,That deal will be decided under the existing rules.,p262
data/preprocessed_data/p262/p262_337_mic1.pt,It is difficult to get into the team at the moment.,p262
data/preprocessed_data/p263/p263_039_mic1.pt,No company would want to put their people at risk.,p263
data/preprocessed_data/p263/p263_091_mic1.pt,"I expected a victory, the pain is enormous.",p263
data/preprocessed_data/p263/p263_393_mic1.pt,She has a little boy.,p263
data/preprocessed_data/p264/p264_142_mic1.pt,"Therefore, this type of aircraft is completely safe.",p264
data/preprocessed_data/p264/p264_150_mic1.pt,Did he trip?,p264
data/preprocessed_data/p264/p264_086_mic1.pt,Because I was a very physical person.,p264
data/preprocessed_data/p265/p265_125_mic1.pt,Is that it?,p265
data/preprocessed_data/p265/p265_108_mic1.pt,It is rubbish.,p265
data/preprocessed_data/p265/p265_271_mic1.pt,We have to break that cycle.,p265
data/preprocessed_data/p266/p266_345_mic1.pt,A formal announcement is expected this morning at a news conference.,p266
data/preprocessed_data/p266/p266_396_mic1.pt,It was a breathtaking moment.,p266
data/preprocessed_data/p266/p266_422_mic1.pt,It looked like a war zone.,p266
data/preprocessed_data/p267/p267_285_mic1.pt,That goes back a long way.,p267
data/preprocessed_data/p267/p267_323_mic1.pt,After some discussion they did.,p267
data/preprocessed_data/p267/p267_240_mic1.pt,You will have seen the adverts.,p267
data/preprocessed_data/p268/p268_249_mic1.pt,This action reflects a slump in bookings.,p268
data/preprocessed_data/p268/p268_350_mic1.pt,I am considered a teenager.,p268
data/preprocessed_data/p268/p268_233_mic1.pt,"Crucially, though, United were still alive.",p268
data/preprocessed_data/p269/p269_240_mic1.pt,It's quite nice.,p269
data/preprocessed_data/p269/p269_074_mic1.pt,Both sides have been hit by injury.,p269
data/preprocessed_data/p269/p269_082_mic1.pt,"It is not long term, but I need time to recover.",p269
data/preprocessed_data/p270/p270_002_mic1.pt,Ask her to bring these things with her from the store.,p270
data/preprocessed_data/p270/p270_260_mic1.pt,There is no change in principle from the White Paper.,p270
data/preprocessed_data/p270/p270_370_mic1.pt,But BA said the prediction was premature.,p270
data/preprocessed_data/p271/p271_209_mic1.pt,It was worth a photograph.,p271
data/preprocessed_data/p271/p271_177_mic1.pt,It is really good news.,p271
data/preprocessed_data/p271/p271_299_mic1.pt,"In spite of recent advances, the language is still under threat.",p271
data/preprocessed_data/p272/p272_143_mic1.pt,"Suddenly, the Fir Park side were in disarray.",p272
data/preprocessed_data/p272/p272_019_mic1.pt,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",p272
data/preprocessed_data/p272/p272_084_mic1.pt,The guidelines are expected to be finalised before next spring.,p272
data/preprocessed_data/p273/p273_087_mic1.pt,He is an extraordinary writer on so many levels.,p273
data/preprocessed_data/p273/p273_287_mic1.pt,There was a final revealing detail about the broadcast.,p273
data/preprocessed_data/p273/p273_073_mic1.pt,It makes for an interesting conference.,p273
data/preprocessed_data/p274/p274_209_mic1.pt,We have an election in eight days.,p274
data/preprocessed_data/p274/p274_065_mic1.pt,Then followed a bout of flu.,p274
data/preprocessed_data/p274/p274_463_mic1.pt,It's because they can't understand the language.,p274
data/preprocessed_data/p275/p275_151_mic1.pt,"He sets the nature of his Parliament in a simple, realistic context.",p275
data/preprocessed_data/p275/p275_032_mic1.pt,He was jailed for four years.,p275
data/preprocessed_data/p275/p275_334_mic1.pt,That's not eviction because he is not a tenant.,p275
data/preprocessed_data/p276/p276_044_mic1.pt,This is slightly negative for inflation.,p276
data/preprocessed_data/p276/p276_046_mic1.pt,We believe a third party was involved.,p276
data/preprocessed_data/p276/p276_039_mic1.pt,Further management changes are planned.,p276
data/preprocessed_data/p277/p277_060_mic1.pt,It had been in place since last July.,p277
data/preprocessed_data/p277/p277_142_mic1.pt,We want to keep the pound.,p277
data/preprocessed_data/p277/p277_051_mic1.pt,It is bizarre.,p277
data/preprocessed_data/p278/p278_407_mic1.pt,Ms McNeill was killed on impact.,p278
data/preprocessed_data/p278/p278_150_mic1.pt,I prefer the clarity of the existing system.,p278
data/preprocessed_data/p278/p278_359_mic1.pt,"In general terms, the proposals are very much in line with expectations.",p278
data/preprocessed_data/p279/p279_283_mic1.pt,You've got to have both sides.,p279
data/preprocessed_data/p279/p279_362_mic1.pt,"So there, we won.",p279
data/preprocessed_data/p279/p279_113_mic1.pt,I was angry.,p279
data/preprocessed_data/p280/p280_255_mic1.pt,Edinburgh Prison will also require to be seen.,p280
data/preprocessed_data/p280/p280_251_mic1.pt,"However, the figures tell a different story.",p280
data/preprocessed_data/p280/p280_109_mic1.pt,Scotland is never far away at Westminster.,p280
data/preprocessed_data/p281/p281_354_mic1.pt,The Allies intend to maintain the average.,p281
data/preprocessed_data/p281/p281_052_mic1.pt,The cuts were made within an hour of each other.,p281
data/preprocessed_data/p281/p281_424_mic1.pt,My aim is a top six finish.,p281
data/preprocessed_data/p282/p282_218_mic1.pt,The loss of a company to the industry is a blow.,p282
data/preprocessed_data/p282/p282_081_mic1.pt,What has changed?,p282
data/preprocessed_data/p282/p282_257_mic1.pt,There's not much money in cycling.,p282
data/preprocessed_data/p283/p283_029_mic1.pt,Because we do not need it.,p283
data/preprocessed_data/p283/p283_269_mic1.pt,was everything done to save people?,p283
data/preprocessed_data/p283/p283_187_mic1.pt,We have a budget in March.,p283
data/preprocessed_data/p284/p284_103_mic1.pt,"Meanwhile, the Scottish Consumer Council yesterday offered support for the new Bill.",p284
data/preprocessed_data/p284/p284_384_mic1.pt,I was lost.,p284
data/preprocessed_data/p284/p284_076_mic1.pt,The party is up for it.,p284
data/preprocessed_data/p285/p285_300_mic1.pt,It could work.,p285
data/preprocessed_data/p285/p285_053_mic1.pt,This obsession wasn't just contained within the world of the losers.,p285
data/preprocessed_data/p285/p285_067_mic1.pt,I had my suspicions.,p285
data/preprocessed_data/p286/p286_255_mic1.pt,That will be a decision for BBC Scotland.,p286
data/preprocessed_data/p286/p286_262_mic1.pt,Kingfisher can afford to wait.,p286
data/preprocessed_data/p286/p286_440_mic1.pt,It is not an inquiry to clear the athletes.,p286
data/preprocessed_data/p287/p287_405_mic1.pt,It's too close to call.,p287
data/preprocessed_data/p287/p287_258_mic1.pt,We are in a war.,p287
data/preprocessed_data/p287/p287_289_mic1.pt,She failed in her action.,p287
data/preprocessed_data/p288/p288_172_mic1.pt,"In spite of recent advances, the language is still under threat.",p288
data/preprocessed_data/p288/p288_020_mic1.pt,Many complicated ideas about the rainbow have been formed.,p288
data/preprocessed_data/p288/p288_042_mic1.pt,We need to chat.,p288
data/preprocessed_data/p292/p292_156_mic1.pt,If only the acting profession was that simple.,p292
data/preprocessed_data/p292/p292_162_mic1.pt,You cannot enter the clubhouse.,p292
data/preprocessed_data/p292/p292_322_mic1.pt,Your father was a good man.,p292
data/preprocessed_data/p293/p293_350_mic1.pt,"Famously, though, there was a catch.",p293
data/preprocessed_data/p293/p293_200_mic1.pt,I always savour the company of The Voice.,p293
data/preprocessed_data/p293/p293_064_mic1.pt,Why did it take a concerted campaign?,p293
data/preprocessed_data/p294/p294_020_mic1.pt,Many complicated ideas about the rainbow have been formed.,p294
data/preprocessed_data/p294/p294_090_mic1.pt,He had just returned from a run.,p294
data/preprocessed_data/p294/p294_352_mic1.pt,They are not falling now.,p294
data/preprocessed_data/p295/p295_208_mic1.pt,Last night they were being comforted by relatives.,p295
data/preprocessed_data/p295/p295_012_mic1.pt,Throughout the centuries people have explained the rainbow in various ways.,p295
data/preprocessed_data/p295/p295_041_mic1.pt,I'm sure he would love it.,p295
data/preprocessed_data/p297/p297_215_mic1.pt,This club have been fair to me.,p297
data/preprocessed_data/p297/p297_005_mic1.pt,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",p297
data/preprocessed_data/p297/p297_330_mic1.pt,There will have to be a full inquiry.,p297
data/preprocessed_data/p298/p298_392_mic1.pt,We have to offer value for money.,p298
data/preprocessed_data/p298/p298_344_mic1.pt,"Obviously, someone is not doing their job properly.",p298
data/preprocessed_data/p298/p298_364_mic1.pt,I'm looking at ways to do that now.,p298
data/preprocessed_data/p299/p299_012_mic1.pt,Throughout the centuries people have explained the rainbow in various ways.,p299
data/preprocessed_data/p299/p299_130_mic1.pt,They really did a great job.,p299
data/preprocessed_data/p299/p299_328_mic1.pt,Eight new hospitals are set to be built.,p299
data/preprocessed_data/p300/p300_228_mic1.pt,They may yet have the last laugh.,p300
data/preprocessed_data/p300/p300_065_mic1.pt,His rival's are spoken with elan.,p300
data/preprocessed_data/p300/p300_384_mic1.pt,But this is not just a Tibetan issue.,p300
data/preprocessed_data/p301/p301_105_mic1.pt,Is your life a little too easy?,p301
data/preprocessed_data/p301/p301_206_mic1.pt,It opens the door to the Champions League.,p301
data/preprocessed_data/p301/p301_344_mic1.pt,We were lucky to have survived.,p301
data/preprocessed_data/p302/p302_022_mic1.pt,The actual primary rainbow observed is said to be the effect of a super-imposition of a number of bows.,p302
data/preprocessed_data/p302/p302_044_mic1.pt,"Subs not used, McCulloch.",p302
data/preprocessed_data/p302/p302_189_mic1.pt,People buy everything with cash.,p302
data/preprocessed_data/p303/p303_214_mic1.pt,All the teachers are Afghan refugees.,p303
data/preprocessed_data/p303/p303_347_mic1.pt,"On this showing, they should stick with the lads.",p303
data/preprocessed_data/p303/p303_229_mic1.pt,"But there has never been the time, she said.",p303
data/preprocessed_data/p304/p304_134_mic1.pt,The Lobby is not failing.,p304
data/preprocessed_data/p304/p304_193_mic1.pt,Then they were awarded a penalty.,p304
data/preprocessed_data/p304/p304_268_mic1.pt,We then went to see the headmaster.,p304
data/preprocessed_data/p305/p305_165_mic1.pt,We have already begun to do that here.,p305
data/preprocessed_data/p305/p305_199_mic1.pt,"Suddenly it was, indeed, a new ball game.",p305
data/preprocessed_data/p305/p305_241_mic1.pt,I have been here for only three months.,p305
data/preprocessed_data/p306/p306_167_mic1.pt,Where are his symphonies and major concertos?,p306
data/preprocessed_data/p306/p306_020_mic1.pt,Many complicated ideas about the rainbow have been formed.,p306
data/preprocessed_data/p306/p306_129_mic1.pt,Does a firefighter have to be killed?,p306
data/preprocessed_data/p307/p307_081_mic1.pt,He came in an army uniform.,p307
data/preprocessed_data/p307/p307_009_mic1.pt,"There is , according to legend, a boiling pot of gold at one end.",p307
data/preprocessed_data/p307/p307_281_mic1.pt,This will secure the future of our industry.,p307
data/preprocessed_data/p308/p308_160_mic1.pt,Councillor Gordon has refused to stand down.,p308
data/preprocessed_data/p308/p308_185_mic1.pt,Reviving the Scottish Open is one option.,p308
data/preprocessed_data/p308/p308_242_mic1.pt,"So we said, no, we're not going to do that.",p308
data/preprocessed_data/p310/p310_201_mic1.pt,That was the personal impulse.,p310
data/preprocessed_data/p310/p310_054_mic1.pt,They were not defeated.,p310
data/preprocessed_data/p310/p310_168_mic1.pt,And then came the seventies.,p310
data/preprocessed_data/p311/p311_256_mic1.pt,"The performance was really, really immense.",p311
data/preprocessed_data/p311/p311_369_mic1.pt,We have some concerns.,p311
data/preprocessed_data/p311/p311_096_mic1.pt,Surely history will not repeat itself.,p311
data/preprocessed_data/p312/p312_019_mic1.pt,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",p312
data/preprocessed_data/p312/p312_260_mic1.pt,It has to be long-term commitment.,p312
data/preprocessed_data/p312/p312_357_mic1.pt,It's better to be happy.,p312
data/preprocessed_data/p313/p313_041_mic1.pt,But he is not using them.,p313
data/preprocessed_data/p313/p313_006_mic1.pt,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",p313
data/preprocessed_data/p313/p313_359_mic1.pt,The hotel was huge.,p313
data/preprocessed_data/p314/p314_363_mic1.pt,It was a job he loved.,p314
data/preprocessed_data/p314/p314_219_mic1.pt,That it is a brand name.,p314
data/preprocessed_data/p314/p314_162_mic1.pt,The pilot was making a visual approach.,p314
data/preprocessed_data/p316/p316_241_mic1.pt,I'm very happy indeed to be almost redundant.,p316
data/preprocessed_data/p316/p316_305_mic1.pt,It is believed that he had been stabbed.,p316
data/preprocessed_data/p316/p316_417_mic1.pt,This is your country.,p316
data/preprocessed_data/p317/p317_040_mic1.pt,The gaffer was great.,p317
data/preprocessed_data/p317/p317_396_mic1.pt,That doesn't mean the Cabinet has to endorse.,p317
data/preprocessed_data/p317/p317_354_mic1.pt,We've always had a very positive attitude.,p317
data/preprocessed_data/p318/p318_281_mic1.pt,It was a foolhardy decision.,p318
data/preprocessed_data/p318/p318_007_mic1.pt,The rainbow is a division of white light into many beautiful colors.,p318
data/preprocessed_data/p318/p318_058_mic1.pt,In a way he was.,p318
data/preprocessed_data/p323/p323_240_mic1.pt,The key issue for us is public safety.,p323
data/preprocessed_data/p323/p323_265_mic1.pt,It's a very high number.,p323
data/preprocessed_data/p323/p323_057_mic1.pt,However this weekend it will be different.,p323
data/preprocessed_data/p326/p326_074_mic1.pt,More patience and composure was required.,p326
data/preprocessed_data/p326/p326_256_mic1.pt,My game just seems to keep on improving.,p326
data/preprocessed_data/p326/p326_231_mic1.pt,They made it very difficult for us.,p326
data/preprocessed_data/p329/p329_278_mic1.pt,He has been campaigning for change for years.,p329
data/preprocessed_data/p329/p329_377_mic1.pt,The written judgment was issued in printed form.,p329
data/preprocessed_data/p329/p329_150_mic1.pt,"And really, the songs are the key thing.",p329
data/preprocessed_data/p330/p330_233_mic1.pt,I never made any offer to Mark.,p330
data/preprocessed_data/p330/p330_199_mic1.pt,"Today, however, half of them get this financial help.",p330
data/preprocessed_data/p330/p330_256_mic1.pt,It could have been a hammering by now.,p330
data/preprocessed_data/p333/p333_109_mic1.pt,"He served in the Gulf, the Falklands, and Northern Ireland.",p333
data/preprocessed_data/p333/p333_283_mic1.pt,It doesn't appear to be anything too serious.,p333
data/preprocessed_data/p333/p333_112_mic1.pt,It is a serious offence of reckless conduct.,p333
data/preprocessed_data/p334/p334_072_mic1.pt,We are looking for volunteers.,p334
data/preprocessed_data/p334/p334_339_mic1.pt,Last night was a key episode.,p334
data/preprocessed_data/p334/p334_295_mic1.pt,We were given a warm and friendly reception.,p334
data/preprocessed_data/p335/p335_403_mic1.pt,"Anyway, even if they didn't it wouldn't have mattered.",p335
data/preprocessed_data/p335/p335_087_mic1.pt,"Correction, knowing him, he might.",p335
data/preprocessed_data/p335/p335_003_mic1.pt,"Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.",p335
data/preprocessed_data/p336/p336_271_mic1.pt,I've had a wonderful career.,p336
data/preprocessed_data/p336/p336_140_mic1.pt,We did not have a clue.,p336
data/preprocessed_data/p336/p336_108_mic1.pt,Most people know that.,p336
data/preprocessed_data/p339/p339_319_mic1.pt,It will not be easy for him.,p339
data/preprocessed_data/p339/p339_409_mic1.pt,What would you ask?,p339
data/preprocessed_data/p339/p339_392_mic1.pt,Gordon Brown did not inherit a mess.,p339
data/preprocessed_data/p340/p340_185_mic1.pt,Of course the ending was fantastic.,p340
data/preprocessed_data/p340/p340_371_mic1.pt,He was not entirely correct.,p340
data/preprocessed_data/p340/p340_014_mic1.pt,To the Hebrews it was a token that there would be no more universal floods.,p340
data/preprocessed_data/p341/p341_027_mic1.pt,I managed to take her completely by surprise.,p341
data/preprocessed_data/p341/p341_255_mic1.pt,Do not listen to them.,p341
data/preprocessed_data/p341/p341_123_mic1.pt,The lady is right.,p341
data/preprocessed_data/p343/p343_059_mic1.pt,I don't believe in gesture politics.,p343
data/preprocessed_data/p343/p343_193_mic1.pt,Is that not uncanny?,p343
data/preprocessed_data/p343/p343_100_mic1.pt,"Frankly, the party was not being honest with itself.",p343
data/preprocessed_data/p345/p345_278_mic1.pt,But that is about to change.,p345
data/preprocessed_data/p345/p345_332_mic1.pt,"Five years later, the deception continued.",p345
data/preprocessed_data/p345/p345_393_mic1.pt,I've never had problems with any football managers.,p345
data/preprocessed_data/p347/p347_411_mic1.pt,"This is a one-year deal, but who knows?",p347
data/preprocessed_data/p347/p347_204_mic1.pt,He is only now regaining his confidence.,p347
data/preprocessed_data/p347/p347_388_mic1.pt,"It was a lot of hard work, but it wasn't difficult.",p347
data/preprocessed_data/p351/p351_365_mic1.pt,I believe she was elected unopposed.,p351
data/preprocessed_data/p351/p351_021_mic1.pt,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",p351
data/preprocessed_data/p351/p351_351_mic1.pt,There was no basis for their arrest.,p351
data/preprocessed_data/p360/p360_229_mic1.pt,Labour will almost certainly remain in control.,p360
data/preprocessed_data/p360/p360_262_mic1.pt,He could still be President.,p360
data/preprocessed_data/p360/p360_216_mic1.pt,But sometimes it was even worse.,p360
data/preprocessed_data/p361/p361_264_mic1.pt,There is no other offer on the table.,p361
data/preprocessed_data/p361/p361_305_mic1.pt,We are right at the heart of Europe.,p361
data/preprocessed_data/p361/p361_398_mic1.pt,I am delighted to have her back home.,p361
data/preprocessed_data/p362/p362_154_mic1.pt,Wrong decisions Address in full,p362
data/preprocessed_data/p362/p362_016_mic1.pt,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,p362
data/preprocessed_data/p362/p362_063_mic1.pt,Policing the profession is important.,p362
data/preprocessed_data/p363/p363_209_mic1.pt,This is really good news for us.,p363
data/preprocessed_data/p363/p363_108_mic1.pt,He is obviously very dangerous.,p363
data/preprocessed_data/p363/p363_084_mic1.pt,They are difficult awards to decide.,p363
data/preprocessed_data/p364/p364_087_mic1.pt,I support the stand that they are making.,p364
data/preprocessed_data/p364/p364_236_mic1.pt,Thankfully they liked it.,p364
data/preprocessed_data/p364/p364_064_mic1.pt,I knew the script.,p364
data/preprocessed_data/p374/p374_148_mic1.pt,There is something in this.,p374
data/preprocessed_data/p374/p374_417_mic1.pt,Some old favourites remain in varying forms.,p374
data/preprocessed_data/p374/p374_373_mic1.pt,This is not a struggle against Islam.,p374
data/preprocessed_data/p376/p376_101_mic1.pt,Blood samples were taken.,p376
data/preprocessed_data/p376/p376_150_mic1.pt,I am awaiting a reply.,p376
data/preprocessed_data/p376/p376_120_mic1.pt,I shouldn't have to put up with it.,p376
data/preprocessed_data/s5/s5_250_mic1.pt,Its primary business channel is the internet.,s5
data/preprocessed_data/s5/s5_167_mic1.pt,The site was launched in the UK on Monday.,s5
data/preprocessed_data/s5/s5_125_mic1.pt,We must pay teachers to take rugby in schools.,s5
